Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
46,0:01,Objeto,person,0.63,20604,"(284, 243, 385, 447)"
46,0:01,Objeto,car,0.55,2494,"(979, 213, 1037, 256)"
46,0:01,Objeto,car,0.38,54796,"(545, 252, 811, 458)"
47,0:01,Objeto,person,0.63,23868,"(256, 234, 364, 455)"
47,0:01,Objeto,person,0.61,22962,"(162, 201, 248, 468)"
47,0:01,Objeto,car,0.51,57120,"(532, 257, 804, 467)"
47,0:01,Objeto,car,0.47,102776,"(533, 257, 976, 489)"
48,0:01,Objeto,person,0.64,24198,"(256, 233, 365, 455)"
48,0:01,Objeto,person,0.61,23048,"(162, 200, 248, 468)"
48,0:01,Objeto,car,0.53,57120,"(532, 257, 804, 467)"
48,0:01,Objeto,car,0.47,103219,"(533, 257, 976, 490)"
49,0:01,Objeto,person,0.71,19847,"(248, 172, 337, 395)"
49,0:01,Objeto,car,0.64,50085,"(516, 211, 781, 400)"
49,0:01,Objeto,person,0.62,27270,"(150, 132, 251, 402)"
50,0:01,Objeto,car,0.8,53800,"(511, 178, 780, 378)"
50,0:01,Objeto,person,0.69,19536,"(245, 157, 333, 379)"
50,0:01,Objeto,car,0.64,2760,"(972, 137, 1032, 183)"
50,0:01,Objeto,person,0.44,18392,"(154, 154, 230, 396)"
50,0:01,Objeto,person,0.43,4212,"(117, 163, 156, 271)"
50,0:01,Objeto,person,0.39,5341,"(300, 122, 349, 231)"
51,0:01,Objeto,car,0.87,55216,"(515, 184, 787, 387)"
51,0:01,Objeto,person,0.7,19488,"(250, 165, 337, 389)"
51,0:01,Objeto,person,0.67,27126,"(157, 133, 256, 407)"
51,0:01,Objeto,car,0.51,2700,"(971, 142, 1031, 187)"
51,0:01,Objeto,person,0.44,4633,"(120, 167, 161, 280)"
51,0:01,Humo,smoke,0.24,56856,"(688, 0, 964, 206)"
52,0:01,Objeto,car,0.75,54252,"(521, 180, 795, 378)"
52,0:01,Objeto,person,0.67,21894,"(166, 127, 248, 394)"
52,0:01,Objeto,person,0.56,27848,"(254, 142, 372, 378)"
52,0:01,Objeto,car,0.53,2668,"(982, 149, 1040, 195)"
52,0:01,Objeto,person,0.46,4576,"(130, 165, 174, 269)"
52,0:01,Objeto,person,0.38,17696,"(253, 155, 332, 379)"
53,0:01,Objeto,car,0.79,59349,"(521, 181, 792, 400)"
53,0:01,Objeto,person,0.74,23848,"(162, 125, 250, 396)"
53,0:01,Objeto,car,0.6,2773,"(982, 149, 1041, 196)"
53,0:01,Objeto,person,0.58,29887,"(252, 135, 373, 382)"
53,0:01,Objeto,person,0.42,4620,"(130, 167, 174, 272)"
53,0:01,Objeto,person,0.39,21483,"(251, 153, 344, 384)"
54,0:01,Objeto,car,0.76,54054,"(527, 178, 800, 376)"
54,0:01,Objeto,person,0.73,22680,"(168, 121, 252, 391)"
54,0:01,Objeto,car,0.72,2640,"(988, 143, 1048, 187)"
54,0:01,Objeto,person,0.63,30132,"(251, 136, 375, 379)"
54,0:01,Objeto,person,0.37,4368,"(138, 161, 180, 265)"
55,0:01,Objeto,person,0.75,26481,"(156, 115, 253, 388)"
55,0:01,Objeto,person,0.68,25960,"(233, 142, 343, 378)"
55,0:01,Objeto,car,0.63,59640,"(519, 176, 799, 389)"
55,0:01,Objeto,car,0.38,42453,"(516, 230, 783, 389)"
55,0:01,Objeto,person,0.36,4387,"(128, 158, 169, 265)"
56,0:01,Objeto,person,0.75,27027,"(155, 115, 254, 388)"
56,0:01,Objeto,person,0.66,27132,"(233, 140, 347, 378)"
56,0:01,Objeto,car,0.63,62160,"(519, 174, 799, 396)"
56,0:01,Objeto,car,0.47,42930,"(516, 233, 781, 395)"
57,0:01,Objeto,person,0.78,26315,"(125, 90, 220, 367)"
57,0:01,Objeto,car,0.74,63560,"(491, 151, 771, 378)"
57,0:01,Objeto,car,0.72,2684,"(963, 116, 1024, 160)"
57,0:01,Objeto,person,0.69,28160,"(204, 99, 314, 355)"
58,0:01,Objeto,person,0.79,26410,"(125, 89, 220, 367)"
58,0:01,Objeto,car,0.73,63787,"(492, 151, 773, 378)"
58,0:01,Objeto,person,0.68,27940,"(204, 101, 314, 355)"
58,0:01,Objeto,car,0.68,2684,"(963, 116, 1024, 160)"
58,0:01,Objeto,person,0.38,100729,"(683, 2, 946, 385)"
59,0:01,Objeto,car,0.8,61050,"(445, 186, 720, 408)"
59,0:01,Objeto,person,0.74,28956,"(152, 127, 266, 381)"
59,0:01,Objeto,person,0.69,23035,"(81, 122, 166, 393)"
59,0:01,Objeto,person,0.53,4646,"(52, 159, 98, 260)"
59,0:01,Objeto,car,0.49,2478,"(916, 157, 975, 199)"
59,0:01,Objeto,person,0.44,148390,"(598, 2, 953, 420)"
60,0:02,Objeto,car,0.81,63000,"(445, 185, 725, 410)"
60,0:02,Objeto,person,0.71,29232,"(152, 128, 268, 380)"
60,0:02,Objeto,person,0.7,23134,"(79, 124, 165, 393)"
60,0:02,Objeto,person,0.52,4747,"(51, 159, 98, 260)"
60,0:02,Objeto,person,0.49,145600,"(598, 1, 948, 417)"
60,0:02,Objeto,car,0.48,2419,"(915, 158, 974, 199)"
61,0:02,Objeto,car,0.83,64980,"(446, 185, 731, 413)"
61,0:02,Objeto,person,0.72,29835,"(152, 127, 269, 382)"
61,0:02,Objeto,person,0.7,23490,"(78, 123, 165, 393)"
61,0:02,Objeto,person,0.53,140270,"(599, 1, 937, 416)"
61,0:02,Objeto,person,0.52,4896,"(51, 159, 99, 261)"
61,0:02,Objeto,car,0.51,2460,"(915, 158, 975, 199)"
62,0:02,Objeto,car,0.88,63616,"(435, 182, 719, 406)"
62,0:02,Objeto,person,0.73,27621,"(59, 101, 158, 380)"
62,0:02,Objeto,person,0.68,29601,"(140, 109, 257, 362)"
62,0:02,Objeto,person,0.58,149703,"(581, 2, 940, 419)"
62,0:02,Objeto,car,0.48,2365,"(906, 161, 961, 204)"
62,0:02,Objeto,person,0.37,5202,"(38, 140, 89, 242)"
63,0:02,Objeto,car,0.82,64680,"(415, 160, 695, 391)"
63,0:02,Objeto,person,0.71,25760,"(39, 69, 131, 349)"
63,0:02,Objeto,car,0.71,2408,"(891, 146, 947, 189)"
63,0:02,Objeto,person,0.62,21631,"(117, 110, 214, 333)"
63,0:02,Objeto,person,0.57,69003,"(660, 31, 847, 400)"
63,0:02,Objeto,person,0.53,1700,"(1199, 159, 1224, 227)"
63,0:02,Objeto,person,0.37,6496,"(8, 104, 66, 216)"
64,0:02,Objeto,car,0.81,64680,"(415, 160, 695, 391)"
64,0:02,Objeto,person,0.71,26040,"(38, 69, 131, 349)"
64,0:02,Objeto,car,0.7,2408,"(891, 146, 947, 189)"
64,0:02,Objeto,person,0.61,21854,"(117, 110, 215, 333)"
64,0:02,Objeto,person,0.56,70300,"(657, 30, 847, 400)"
64,0:02,Objeto,person,0.54,1632,"(1200, 159, 1224, 227)"
64,0:02,Objeto,person,0.36,6496,"(8, 104, 66, 216)"
65,0:02,Objeto,car,0.87,70389,"(379, 124, 676, 361)"
65,0:02,Objeto,person,0.81,27548,"(0, 39, 97, 323)"
65,0:02,Objeto,car,0.71,2623,"(859, 116, 920, 159)"
65,0:02,Objeto,fire hydrant,0.7,73767,"(622, 2, 823, 369)"
65,0:02,Objeto,person,0.63,20790,"(74, 74, 164, 305)"
66,0:02,Objeto,car,0.87,69560,"(379, 124, 675, 359)"
66,0:02,Objeto,person,0.82,26980,"(0, 39, 95, 323)"
66,0:02,Objeto,fire hydrant,0.68,73767,"(622, 2, 823, 369)"
66,0:02,Objeto,car,0.62,2623,"(858, 116, 919, 159)"
66,0:02,Objeto,person,0.61,21060,"(75, 71, 165, 305)"
67,0:02,Objeto,car,0.81,65320,"(372, 123, 656, 353)"
67,0:02,Objeto,person,0.76,25810,"(0, 39, 89, 329)"
67,0:02,Objeto,person,0.67,77015,"(604, 1, 815, 366)"
67,0:02,Objeto,person,0.66,27938,"(65, 82, 187, 311)"
67,0:02,Objeto,car,0.49,2436,"(850, 113, 908, 155)"
67,0:02,Objeto,person,0.42,1584,"(1158, 133, 1182, 199)"
68,0:02,Objeto,car,0.84,63940,"(377, 148, 655, 378)"
68,0:02,Objeto,person,0.81,26578,"(0, 71, 97, 345)"
68,0:02,Objeto,person,0.71,28290,"(75, 84, 190, 330)"
68,0:02,Objeto,person,0.49,94736,"(572, 2, 820, 384)"
68,0:02,Objeto,car,0.47,2596,"(850, 130, 909, 174)"
68,0:02,Objeto,fire hydrant,0.37,2325,"(910, 138, 941, 213)"
68,0:02,Humo,smoke,0.22,57117,"(591, 14, 828, 255)"
69,0:02,Objeto,car,0.84,62746,"(377, 148, 651, 377)"
69,0:02,Objeto,person,0.81,26578,"(0, 71, 97, 345)"
69,0:02,Objeto,person,0.72,28175,"(75, 85, 190, 330)"
69,0:02,Objeto,car,0.47,2552,"(851, 130, 909, 174)"
69,0:02,Objeto,person,0.45,94354,"(573, 2, 820, 384)"
69,0:02,Objeto,fire hydrant,0.36,2325,"(910, 138, 941, 213)"
70,0:02,Objeto,fire hydrant,0.81,98800,"(572, 1, 832, 381)"
70,0:02,Objeto,car,0.8,62928,"(374, 145, 650, 373)"
70,0:02,Objeto,person,0.73,25380,"(0, 78, 90, 360)"
70,0:02,Objeto,person,0.51,25864,"(79, 88, 185, 332)"
70,0:02,Objeto,car,0.5,2352,"(852, 125, 908, 167)"
70,0:02,Objeto,person,0.47,18012,"(75, 99, 154, 327)"
70,0:02,Objeto,fire hydrant,0.37,2490,"(911, 125, 941, 208)"
71,0:02,Objeto,person,0.79,24112,"(0, 107, 88, 381)"
71,0:02,Objeto,car,0.78,55104,"(379, 161, 625, 385)"
71,0:02,Objeto,car,0.64,2296,"(850, 135, 906, 176)"
71,0:02,Objeto,person,0.48,27972,"(74, 106, 185, 358)"
71,0:02,Objeto,person,0.46,99110,"(567, 16, 832, 390)"
71,0:02,Objeto,fire hydrant,0.44,100435,"(566, 12, 831, 391)"
71,0:02,Humo,smoke,0.23,52056,"(574, 22, 815, 238)"
72,0:02,Objeto,car,0.86,54635,"(379, 185, 624, 408)"
72,0:02,Objeto,fire hydrant,0.82,113646,"(554, 3, 836, 406)"
72,0:02,Objeto,person,0.76,24843,"(0, 128, 91, 401)"
72,0:02,Objeto,car,0.56,2700,"(845, 151, 905, 196)"
72,0:02,Objeto,person,0.53,29040,"(73, 139, 193, 381)"
72,0:02,Humo,smoke,0.29,65280,"(565, 12, 821, 267)"
73,0:02,Objeto,car,0.88,58566,"(379, 197, 637, 424)"
73,0:02,Objeto,person,0.74,23838,"(0, 137, 87, 411)"
73,0:02,Objeto,person,0.7,29890,"(71, 136, 193, 381)"
73,0:02,Objeto,car,0.5,2280,"(849, 174, 906, 214)"
73,0:02,Objeto,person,0.36,1863,"(1148, 173, 1175, 242)"
74,0:02,Objeto,car,0.84,59998,"(385, 185, 647, 414)"
74,0:02,Objeto,person,0.84,25025,"(0, 132, 91, 407)"
74,0:02,Objeto,person,0.75,28448,"(73, 130, 185, 384)"
74,0:02,Objeto,car,0.59,2214,"(856, 157, 910, 198)"
74,0:02,Objeto,person,0.4,1836,"(1155, 158, 1182, 226)"
74,0:02,Humo,smoke,0.23,74254,"(556, 8, 830, 279)"
75,0:02,Objeto,car,0.85,59769,"(385, 185, 646, 414)"
75,0:02,Objeto,person,0.83,25668,"(0, 132, 93, 408)"
75,0:02,Objeto,person,0.76,27686,"(74, 131, 183, 385)"
75,0:02,Objeto,car,0.56,2173,"(856, 157, 909, 198)"
75,0:02,Objeto,person,0.41,1836,"(1155, 158, 1182, 226)"
