Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
48,0:01,Objeto,truck,0.5,57682,"(494, 343, 796, 534)"
49,0:01,Objeto,truck,0.69,55726,"(498, 346, 796, 533)"
49,0:01,Objeto,bus,0.5,55913,"(497, 347, 796, 534)"
49,0:01,Objeto,car,0.47,8062,"(1140, 310, 1279, 368)"
50,0:01,Objeto,bus,0.68,54945,"(497, 349, 794, 534)"
50,0:01,Objeto,truck,0.6,55130,"(497, 348, 795, 533)"
50,0:01,Objeto,car,0.48,7923,"(1140, 311, 1279, 368)"
51,0:01,Objeto,truck,0.73,54020,"(501, 348, 793, 533)"
52,0:01,Objeto,truck,0.7,53280,"(503, 348, 791, 533)"
52,0:01,Objeto,bus,0.6,52808,"(503, 349, 790, 533)"
52,0:01,Objeto,car,0.43,8460,"(1138, 310, 1279, 370)"
53,0:01,Objeto,bus,0.85,52638,"(505, 348, 788, 534)"
53,0:01,Objeto,car,0.39,7755,"(1138, 318, 1279, 373)"
53,0:01,Objeto,truck,0.36,52824,"(505, 347, 789, 533)"
54,0:01,Objeto,bus,0.75,51708,"(507, 348, 785, 534)"
54,0:01,Objeto,truck,0.58,52173,"(507, 347, 786, 534)"
54,0:01,Objeto,car,0.37,6816,"(1137, 320, 1279, 368)"
55,0:01,Objeto,bus,0.75,50778,"(508, 347, 781, 533)"
55,0:01,Objeto,truck,0.52,51238,"(509, 346, 783, 533)"
55,0:01,Objeto,car,0.46,8030,"(1133, 317, 1279, 372)"
56,0:01,Objeto,bus,0.83,50303,"(510, 348, 779, 535)"
56,0:01,Objeto,car,0.43,9216,"(1133, 309, 1277, 373)"
56,0:01,Objeto,truck,0.39,50677,"(510, 347, 781, 534)"
57,0:01,Objeto,bus,0.9,49742,"(511, 347, 777, 534)"
57,0:01,Objeto,car,0.43,9280,"(1132, 309, 1277, 373)"
58,0:01,Objeto,bus,0.9,48994,"(511, 347, 773, 534)"
58,0:01,Objeto,car,0.4,8085,"(1129, 314, 1276, 369)"
59,0:01,Objeto,bus,0.87,48620,"(511, 347, 771, 534)"
59,0:01,Objeto,car,0.4,8791,"(1126, 312, 1275, 371)"
59,0:01,Objeto,car,0.4,5750,"(1128, 322, 1243, 372)"
59,0:01,Fuego,fire,0.21,690,"(641, 504, 671, 527)"
60,0:02,Objeto,bus,0.88,47360,"(512, 348, 768, 533)"
60,0:02,Objeto,car,0.36,9536,"(1126, 309, 1275, 373)"
61,0:02,Objeto,bus,0.86,47564,"(512, 346, 765, 534)"
62,0:02,Objeto,bus,0.9,46812,"(512, 346, 761, 534)"
63,0:02,Objeto,bus,0.88,46116,"(510, 345, 754, 534)"
63,0:02,Objeto,car,0.43,10744,"(1119, 309, 1277, 377)"
64,0:02,Objeto,bus,0.81,45738,"(509, 345, 751, 534)"
64,0:02,Objeto,car,0.4,10362,"(1118, 310, 1275, 376)"
65,0:02,Objeto,bus,0.83,45171,"(508, 344, 747, 533)"
65,0:02,Objeto,car,0.39,4446,"(62, 355, 176, 394)"
66,0:02,Objeto,bus,0.89,43659,"(510, 344, 741, 533)"
67,0:02,Objeto,bus,0.82,43320,"(508, 344, 736, 534)"
67,0:02,Objeto,car,0.46,4329,"(30, 355, 147, 392)"
67,0:02,Fuego,fire,0.2,575,"(654, 504, 679, 527)"
68,0:02,Objeto,bus,0.85,43357,"(508, 343, 735, 534)"
68,0:02,Objeto,car,0.51,4292,"(12, 357, 128, 394)"
68,0:02,Fuego,fire,0.22,650,"(654, 503, 680, 528)"
69,0:02,Objeto,bus,0.84,41958,"(508, 344, 730, 533)"
69,0:02,Objeto,car,0.39,4294,"(0, 358, 113, 396)"
70,0:02,Objeto,bus,0.73,42048,"(506, 342, 725, 534)"
70,0:02,Objeto,car,0.5,3705,"(0, 358, 95, 397)"
70,0:02,Objeto,truck,0.45,41856,"(507, 341, 725, 533)"
