Frame,Tiempo,Tipo,Etiqueta,Confianza,Area,Coordenadas
25,0:00,Objeto,car,0.66,1682,"(94, 165, 152, 194)"
25,0:00,Objeto,car,0.61,350,"(630, 300, 655, 314)"
25,0:00,Objeto,car,0.59,2829,"(20, 410, 89, 451)"
25,0:00,Objeto,car,0.36,1911,"(802, 342, 851, 381)"
26,0:00,Objeto,car,0.81,2553,"(387, 345, 456, 382)"
26,0:00,Objeto,car,0.68,2736,"(559, 281, 631, 319)"
26,0:00,Objeto,car,0.66,1740,"(94, 164, 152, 194)"
26,0:00,Objeto,car,0.57,3003,"(573, 438, 650, 477)"
26,0:00,Objeto,car,0.55,3036,"(31, 411, 100, 455)"
26,0:00,Objeto,car,0.54,350,"(630, 300, 655, 314)"
27,0:00,Objeto,car,0.86,2553,"(377, 343, 446, 380)"
27,0:00,Objeto,car,0.68,2736,"(559, 281, 631, 319)"
27,0:00,Objeto,car,0.64,1710,"(95, 164, 152, 194)"
27,0:00,Objeto,car,0.62,3066,"(36, 415, 109, 457)"
27,0:00,Objeto,car,0.6,3080,"(558, 435, 635, 475)"
27,0:00,Objeto,car,0.54,364,"(630, 300, 656, 314)"
28,0:00,Objeto,car,0.8,2516,"(367, 340, 435, 377)"
28,0:00,Objeto,car,0.68,2774,"(558, 281, 631, 319)"
28,0:00,Objeto,car,0.63,1682,"(94, 165, 152, 194)"
28,0:00,Objeto,car,0.54,364,"(630, 300, 656, 314)"
28,0:00,Objeto,car,0.52,3139,"(46, 418, 119, 461)"
28,0:00,Objeto,car,0.5,3116,"(544, 431, 620, 472)"
28,0:00,Objeto,car,0.39,2795,"(786, 341, 851, 384)"
29,0:00,Objeto,car,0.83,2484,"(356, 338, 425, 374)"
29,0:00,Objeto,car,0.68,2774,"(558, 281, 631, 319)"
29,0:00,Objeto,car,0.63,1624,"(94, 166, 152, 194)"
29,0:00,Objeto,car,0.52,2940,"(59, 421, 129, 463)"
29,0:00,Objeto,car,0.48,350,"(630, 300, 655, 314)"
29,0:00,Objeto,car,0.36,3034,"(531, 427, 605, 468)"
29,0:00,Objeto,car,0.35,2838,"(785, 341, 851, 384)"
30,0:01,Objeto,car,0.83,2520,"(346, 335, 416, 371)"
30,0:01,Objeto,car,0.65,2774,"(558, 281, 631, 319)"
30,0:01,Objeto,car,0.64,3066,"(516, 423, 589, 465)"
30,0:01,Objeto,car,0.61,1682,"(94, 165, 152, 194)"
30,0:01,Objeto,car,0.51,350,"(630, 300, 655, 314)"
30,0:01,Objeto,car,0.44,3256,"(66, 423, 140, 467)"
31,0:01,Objeto,car,0.86,2553,"(336, 332, 405, 369)"
31,0:01,Objeto,car,0.65,1710,"(95, 164, 152, 194)"
31,0:01,Objeto,car,0.62,3116,"(500, 420, 576, 461)"
31,0:01,Objeto,car,0.62,2774,"(558, 281, 631, 319)"
31,0:01,Objeto,car,0.48,378,"(629, 300, 656, 314)"
32,0:01,Objeto,car,0.77,2412,"(327, 330, 394, 366)"
32,0:01,Objeto,car,0.65,1740,"(94, 164, 152, 194)"
32,0:01,Objeto,car,0.61,2774,"(558, 281, 631, 319)"
32,0:01,Objeto,car,0.48,378,"(629, 300, 656, 314)"
32,0:01,Objeto,car,0.45,3150,"(487, 415, 562, 457)"
33,0:01,Objeto,car,0.8,2345,"(317, 328, 384, 363)"
33,0:01,Objeto,car,0.64,1682,"(94, 165, 152, 194)"
33,0:01,Objeto,car,0.61,2774,"(558, 281, 631, 319)"
33,0:01,Objeto,car,0.57,2993,"(473, 411, 546, 452)"
33,0:01,Objeto,car,0.44,378,"(629, 300, 656, 314)"
33,0:01,Objeto,car,0.43,2856,"(102, 433, 170, 475)"
33,0:01,Objeto,car,0.36,2624,"(786, 340, 850, 381)"
34,0:01,Objeto,car,0.77,2448,"(308, 324, 376, 360)"
34,0:01,Objeto,car,0.64,1682,"(94, 165, 152, 194)"
34,0:01,Objeto,car,0.6,2736,"(559, 281, 631, 319)"
34,0:01,Objeto,car,0.4,378,"(629, 300, 656, 314)"
34,0:01,Objeto,car,0.4,2666,"(788, 339, 850, 382)"
35,0:01,Objeto,car,0.85,2340,"(297, 321, 362, 357)"
35,0:01,Objeto,car,0.64,1653,"(95, 165, 152, 194)"
35,0:01,Objeto,car,0.58,2736,"(559, 281, 631, 319)"
35,0:01,Objeto,car,0.36,351,"(629, 301, 656, 314)"
36,0:01,Objeto,car,0.67,1624,"(96, 165, 152, 194)"
36,0:01,Objeto,car,0.61,2376,"(286, 319, 352, 355)"
36,0:01,Objeto,car,0.53,2736,"(559, 281, 631, 319)"
37,0:01,Objeto,car,0.73,2310,"(276, 318, 342, 353)"
37,0:01,Objeto,car,0.67,1710,"(95, 164, 152, 194)"
37,0:01,Objeto,car,0.51,2774,"(558, 281, 631, 319)"
38,0:01,Objeto,car,0.81,2345,"(266, 315, 333, 350)"
38,0:01,Objeto,car,0.71,1624,"(95, 165, 151, 194)"
38,0:01,Objeto,car,0.56,2736,"(558, 281, 630, 319)"
38,0:01,Objeto,car,0.48,2993,"(403, 394, 476, 435)"
39,0:01,Objeto,car,0.79,2240,"(258, 312, 322, 347)"
39,0:01,Objeto,car,0.74,2769,"(391, 391, 462, 430)"
39,0:01,Objeto,car,0.71,1736,"(95, 164, 151, 195)"
39,0:01,Objeto,car,0.53,2774,"(557, 281, 630, 319)"
40,0:01,Objeto,car,0.81,2376,"(248, 309, 314, 345)"
40,0:01,Objeto,car,0.7,1680,"(95, 165, 151, 195)"
40,0:01,Objeto,car,0.62,2847,"(376, 388, 449, 427)"
40,0:01,Objeto,car,0.53,2774,"(557, 281, 630, 319)"
41,0:01,Objeto,car,0.76,2412,"(238, 307, 305, 343)"
41,0:01,Objeto,car,0.7,1680,"(95, 165, 151, 195)"
41,0:01,Objeto,car,0.66,2840,"(364, 384, 435, 424)"
41,0:01,Objeto,car,0.49,2736,"(558, 281, 630, 319)"
42,0:01,Objeto,car,0.8,2345,"(228, 305, 295, 340)"
42,0:01,Objeto,car,0.71,1680,"(95, 165, 151, 195)"
42,0:01,Objeto,car,0.61,2769,"(350, 381, 421, 420)"
42,0:01,Objeto,car,0.55,2736,"(558, 281, 630, 319)"
42,0:01,Objeto,car,0.36,338,"(629, 300, 655, 313)"
43,0:01,Objeto,car,0.82,2240,"(219, 302, 283, 337)"
43,0:01,Objeto,car,0.72,1680,"(95, 165, 151, 195)"
43,0:01,Objeto,car,0.72,2880,"(336, 377, 408, 417)"
43,0:01,Objeto,car,0.52,2774,"(557, 281, 630, 319)"
43,0:01,Objeto,car,0.45,3555,"(772, 409, 851, 454)"
43,0:01,Objeto,car,0.44,378,"(629, 300, 656, 314)"
44,0:01,Objeto,car,0.83,2244,"(209, 300, 275, 334)"
44,0:01,Objeto,car,0.71,1650,"(96, 165, 151, 195)"
44,0:01,Objeto,car,0.63,2730,"(324, 373, 394, 412)"
44,0:01,Objeto,car,0.55,2774,"(557, 281, 630, 319)"
44,0:01,Objeto,car,0.49,4002,"(762, 406, 849, 452)"
44,0:01,Objeto,car,0.45,378,"(629, 300, 656, 314)"
45,0:01,Objeto,car,0.77,2275,"(201, 297, 266, 332)"
45,0:01,Objeto,car,0.69,1620,"(97, 165, 151, 195)"
45,0:01,Objeto,car,0.59,2808,"(309, 370, 381, 409)"
45,0:01,Objeto,car,0.55,2774,"(557, 281, 630, 319)"
45,0:01,Objeto,car,0.47,390,"(630, 299, 656, 314)"
45,0:01,Objeto,car,0.45,3645,"(756, 404, 837, 449)"
46,0:01,Objeto,car,0.88,2210,"(191, 296, 256, 330)"
46,0:01,Objeto,car,0.71,1620,"(97, 165, 151, 195)"
46,0:01,Objeto,car,0.55,2736,"(558, 281, 630, 319)"
46,0:01,Objeto,car,0.54,3910,"(743, 400, 828, 446)"
46,0:01,Objeto,car,0.47,378,"(629, 300, 656, 314)"
46,0:01,Objeto,car,0.45,2808,"(296, 366, 368, 405)"
47,0:01,Objeto,car,0.85,2244,"(181, 293, 247, 327)"
47,0:01,Objeto,car,0.72,1620,"(97, 165, 151, 195)"
47,0:01,Objeto,car,0.6,2736,"(558, 281, 630, 319)"
47,0:01,Objeto,car,0.56,3780,"(733, 398, 817, 443)"
47,0:01,Objeto,car,0.52,2920,"(284, 362, 357, 402)"
47,0:01,Objeto,car,0.44,338,"(630, 300, 656, 313)"
48,0:01,Objeto,car,0.81,2268,"(173, 289, 236, 325)"
48,0:01,Objeto,car,0.69,1650,"(96, 165, 151, 195)"
48,0:01,Objeto,car,0.6,2774,"(558, 281, 631, 319)"
48,0:01,Objeto,car,0.55,2829,"(271, 357, 340, 398)"
48,0:01,Objeto,car,0.43,378,"(630, 300, 657, 314)"
48,0:01,Objeto,car,0.4,3780,"(723, 396, 807, 441)"
49,0:01,Objeto,car,0.74,2240,"(163, 287, 227, 322)"
49,0:01,Objeto,car,0.69,1650,"(96, 165, 151, 195)"
49,0:01,Objeto,car,0.58,2812,"(557, 281, 631, 319)"
49,0:01,Objeto,car,0.57,2800,"(257, 355, 327, 395)"
49,0:01,Objeto,car,0.54,3910,"(711, 394, 796, 440)"
49,0:01,Objeto,car,0.44,405,"(629, 299, 656, 314)"
50,0:01,Objeto,car,0.72,2205,"(155, 285, 218, 320)"
50,0:01,Objeto,car,0.69,1620,"(96, 165, 150, 195)"
50,0:01,Objeto,car,0.6,2698,"(244, 353, 315, 391)"
50,0:01,Objeto,car,0.6,2812,"(557, 281, 631, 319)"
50,0:01,Objeto,car,0.48,405,"(629, 299, 656, 314)"
50,0:01,Objeto,car,0.39,3696,"(703, 390, 787, 434)"
51,0:01,Objeto,car,0.78,2244,"(144, 283, 210, 317)"
51,0:01,Objeto,car,0.68,1620,"(96, 165, 150, 195)"
51,0:01,Objeto,car,0.62,2774,"(558, 281, 631, 319)"
51,0:01,Objeto,car,0.56,3652,"(693, 388, 776, 432)"
51,0:01,Objeto,car,0.54,2553,"(232, 350, 301, 387)"
51,0:01,Objeto,car,0.49,420,"(629, 299, 657, 314)"
52,0:01,Objeto,car,0.81,2176,"(136, 280, 200, 314)"
52,0:01,Objeto,car,0.74,2622,"(220, 346, 289, 384)"
52,0:01,Objeto,car,0.7,1650,"(95, 165, 150, 195)"
52,0:01,Objeto,car,0.58,2812,"(557, 281, 631, 319)"
52,0:01,Objeto,car,0.39,3741,"(681, 386, 768, 429)"
52,0:01,Objeto,car,0.39,420,"(629, 299, 657, 314)"
53,0:01,Objeto,car,0.78,2176,"(127, 278, 191, 312)"
53,0:01,Objeto,car,0.66,1650,"(95, 165, 150, 195)"
53,0:01,Objeto,car,0.66,2660,"(206, 343, 276, 381)"
53,0:01,Objeto,car,0.57,2812,"(557, 281, 631, 319)"
53,0:01,Objeto,car,0.51,3612,"(672, 384, 756, 427)"
53,0:01,Objeto,car,0.39,392,"(629, 300, 657, 314)"
53,0:01,Objeto,car,0.38,1995,"(349, 188, 406, 223)"
54,0:01,Objeto,car,0.77,2048,"(116, 277, 180, 309)"
54,0:01,Objeto,car,0.66,3655,"(660, 381, 745, 424)"
54,0:01,Objeto,car,0.64,1736,"(95, 165, 151, 196)"
54,0:01,Objeto,car,0.58,2553,"(194, 340, 263, 377)"
54,0:01,Objeto,car,0.56,2925,"(556, 281, 631, 320)"
54,0:01,Objeto,car,0.43,1938,"(349, 189, 406, 223)"
54,0:01,Objeto,car,0.41,392,"(629, 300, 657, 314)"
55,0:01,Objeto,car,0.84,2210,"(107, 274, 172, 308)"
55,0:01,Objeto,car,0.71,2769,"(180, 336, 251, 375)"
55,0:01,Objeto,car,0.7,1736,"(95, 165, 151, 196)"
55,0:01,Objeto,car,0.56,2886,"(557, 281, 631, 320)"
55,0:01,Objeto,car,0.51,3652,"(651, 378, 734, 422)"
55,0:01,Objeto,car,0.41,2006,"(347, 189, 406, 223)"
55,0:01,Objeto,car,0.37,406,"(628, 300, 657, 314)"
56,0:01,Objeto,car,0.83,2112,"(98, 272, 162, 305)"
56,0:01,Objeto,car,0.76,2622,"(169, 333, 238, 371)"
56,0:01,Objeto,car,0.69,1736,"(95, 165, 151, 196)"
56,0:01,Objeto,car,0.58,3696,"(640, 375, 724, 419)"
56,0:01,Objeto,car,0.55,2886,"(557, 281, 631, 320)"
56,0:01,Objeto,car,0.38,406,"(628, 300, 657, 314)"
57,0:01,Objeto,car,0.77,2013,"(89, 269, 150, 302)"
57,0:01,Objeto,car,0.74,2412,"(157, 330, 224, 366)"
57,0:01,Objeto,car,0.71,1736,"(94, 165, 150, 196)"
57,0:01,Objeto,car,0.5,2808,"(558, 281, 630, 320)"
58,0:01,Objeto,car,0.82,2412,"(145, 327, 212, 363)"
58,0:01,Objeto,car,0.74,2079,"(79, 267, 142, 300)"
58,0:01,Objeto,car,0.72,1736,"(94, 165, 150, 196)"
58,0:01,Objeto,car,0.56,2886,"(557, 281, 631, 320)"
58,0:01,Objeto,car,0.54,3528,"(621, 371, 705, 413)"
58,0:01,Objeto,truck,0.4,6864,"(461, 172, 565, 238)"
59,0:01,Objeto,car,0.83,2584,"(132, 323, 200, 361)"
59,0:01,Objeto,car,0.8,2112,"(70, 265, 134, 298)"
59,0:01,Objeto,car,0.73,1736,"(94, 165, 150, 196)"
59,0:01,Objeto,car,0.55,3612,"(612, 369, 696, 412)"
59,0:01,Objeto,car,0.54,2847,"(557, 281, 630, 320)"
59,0:01,Objeto,truck,0.46,6630,"(461, 172, 563, 237)"
59,0:01,Objeto,car,0.39,2100,"(623, 453, 707, 478)"
60,0:02,Objeto,car,0.85,2145,"(61, 263, 126, 296)"
60,0:02,Objeto,car,0.73,1736,"(94, 165, 150, 196)"
60,0:02,Objeto,car,0.71,2516,"(120, 320, 188, 357)"
60,0:02,Objeto,car,0.68,3403,"(604, 367, 687, 408)"
60,0:02,Objeto,car,0.53,2847,"(557, 281, 630, 320)"
60,0:02,Objeto,car,0.47,2460,"(611, 448, 693, 478)"
60,0:02,Objeto,truck,0.44,6630,"(461, 172, 563, 237)"
61,0:02,Objeto,car,0.84,2142,"(53, 259, 116, 293)"
61,0:02,Objeto,car,0.74,2553,"(107, 318, 176, 355)"
61,0:02,Objeto,car,0.7,3321,"(596, 364, 677, 405)"
61,0:02,Objeto,car,0.64,1767,"(93, 165, 150, 196)"
61,0:02,Objeto,car,0.62,2772,"(597, 445, 681, 478)"
61,0:02,Objeto,car,0.6,2847,"(557, 281, 630, 320)"
61,0:02,Objeto,car,0.37,435,"(627, 300, 656, 315)"
61,0:02,Objeto,truck,0.36,6528,"(461, 173, 563, 237)"
62,0:02,Objeto,car,0.86,2079,"(44, 258, 107, 291)"
62,0:02,Objeto,car,0.81,2730,"(95, 312, 165, 351)"
62,0:02,Objeto,car,0.8,3444,"(581, 362, 665, 403)"
62,0:02,Objeto,car,0.8,2835,"(585, 442, 666, 477)"
62,0:02,Objeto,car,0.68,1736,"(94, 165, 150, 196)"
62,0:02,Objeto,car,0.61,2847,"(556, 281, 629, 320)"
62,0:02,Objeto,car,0.42,435,"(627, 300, 656, 315)"
63,0:02,Objeto,car,0.82,2079,"(34, 256, 97, 289)"
63,0:02,Objeto,car,0.81,2405,"(84, 310, 149, 347)"
63,0:02,Objeto,car,0.8,3569,"(573, 359, 656, 402)"
63,0:02,Objeto,car,0.7,1736,"(94, 165, 150, 196)"
63,0:02,Objeto,car,0.6,3198,"(573, 439, 655, 478)"
63,0:02,Objeto,car,0.56,2808,"(557, 281, 629, 320)"
63,0:02,Objeto,car,0.4,450,"(626, 300, 656, 315)"
64,0:02,Objeto,car,0.86,2112,"(25, 254, 89, 287)"
64,0:02,Objeto,car,0.77,3280,"(559, 435, 639, 476)"
64,0:02,Objeto,car,0.7,2412,"(71, 308, 138, 344)"
64,0:02,Objeto,car,0.7,1767,"(93, 165, 150, 196)"
64,0:02,Objeto,car,0.65,3402,"(565, 357, 646, 399)"
64,0:02,Objeto,car,0.55,2808,"(557, 281, 629, 320)"
64,0:02,Objeto,car,0.37,450,"(626, 300, 656, 315)"
65,0:02,Objeto,car,0.86,2112,"(16, 252, 80, 285)"
65,0:02,Objeto,car,0.78,2448,"(58, 305, 126, 341)"
65,0:02,Objeto,car,0.7,3440,"(546, 431, 626, 474)"
65,0:02,Objeto,car,0.68,1767,"(93, 165, 150, 196)"
65,0:02,Objeto,car,0.67,3526,"(556, 353, 638, 396)"
65,0:02,Objeto,car,0.48,2847,"(556, 281, 629, 320)"
65,0:02,Fuego,fire,0.2,532,"(488, 407, 526, 421)"
66,0:02,Objeto,car,0.81,2442,"(47, 301, 113, 338)"
66,0:02,Objeto,car,0.81,2046,"(8, 249, 70, 282)"
66,0:02,Objeto,car,0.66,1767,"(93, 165, 150, 196)"
66,0:02,Objeto,car,0.64,3360,"(534, 428, 614, 470)"
66,0:02,Objeto,car,0.62,3200,"(548, 353, 628, 393)"
66,0:02,Objeto,car,0.59,2847,"(556, 281, 629, 320)"
66,0:02,Objeto,car,0.37,450,"(626, 300, 656, 315)"
67,0:02,Objeto,car,0.78,2376,"(36, 299, 102, 335)"
67,0:02,Objeto,car,0.75,3440,"(521, 424, 601, 467)"
67,0:02,Objeto,car,0.71,2074,"(1, 246, 62, 280)"
67,0:02,Objeto,car,0.67,1736,"(94, 165, 150, 196)"
67,0:02,Objeto,car,0.51,2847,"(556, 281, 629, 320)"
67,0:02,Objeto,car,0.44,3402,"(538, 349, 619, 391)"
67,0:02,Objeto,truck,0.38,2646,"(344, 182, 407, 224)"
68,0:02,Objeto,car,0.81,2345,"(23, 297, 90, 332)"
68,0:02,Objeto,car,0.75,3318,"(508, 422, 587, 464)"
68,0:02,Objeto,car,0.7,1820,"(0, 242, 52, 277)"
68,0:02,Objeto,car,0.65,1767,"(93, 165, 150, 196)"
68,0:02,Objeto,car,0.54,2847,"(556, 281, 629, 320)"
68,0:02,Objeto,car,0.47,3280,"(529, 347, 609, 388)"
68,0:02,Objeto,truck,0.42,2772,"(344, 181, 407, 225)"
69,0:02,Objeto,car,0.82,3476,"(495, 417, 574, 461)"
69,0:02,Objeto,car,0.82,2380,"(10, 293, 78, 328)"
69,0:02,Objeto,car,0.75,1462,"(0, 242, 43, 276)"
69,0:02,Objeto,car,0.64,1736,"(93, 165, 149, 196)"
69,0:02,Objeto,car,0.6,3321,"(519, 345, 600, 386)"
69,0:02,Objeto,car,0.47,2886,"(555, 281, 629, 320)"
69,0:02,Objeto,truck,0.42,2835,"(343, 179, 406, 224)"
70,0:02,Objeto,car,0.81,3432,"(483, 414, 561, 458)"
70,0:02,Objeto,car,0.71,1088,"(0, 241, 34, 273)"
70,0:02,Objeto,car,0.7,2405,"(1, 289, 66, 326)"
70,0:02,Objeto,car,0.66,1767,"(93, 165, 150, 196)"
70,0:02,Objeto,car,0.53,2925,"(554, 281, 629, 320)"
70,0:02,Objeto,car,0.49,3397,"(511, 342, 590, 385)"
70,0:02,Objeto,car,0.41,448,"(627, 299, 655, 315)"
70,0:02,Objeto,truck,0.35,2709,"(343, 181, 406, 224)"
71,0:02,Objeto,car,0.71,3318,"(470, 411, 549, 453)"
