Objeto,Confianza,Coordenadas
car,0.44,"(630, 300, 656, 313)"
car,0.81,"(173, 289, 236, 325)"
car,0.69,"(96, 165, 151, 195)"
car,0.6,"(558, 281, 631, 319)"
car,0.55,"(271, 357, 340, 398)"
car,0.43,"(630, 300, 657, 314)"
car,0.4,"(723, 396, 807, 441)"
car,0.74,"(163, 287, 227, 322)"
car,0.69,"(96, 165, 151, 195)"
car,0.58,"(557, 281, 631, 319)"
car,0.57,"(257, 355, 327, 395)"
car,0.54,"(711, 394, 796, 440)"
car,0.44,"(629, 299, 656, 314)"
car,0.72,"(155, 285, 218, 320)"
car,0.69,"(96, 165, 150, 195)"
car,0.6,"(244, 353, 315, 391)"
car,0.6,"(557, 281, 631, 319)"
car,0.48,"(629, 299, 656, 314)"
car,0.39,"(703, 390, 787, 434)"
car,0.78,"(144, 283, 210, 317)"
car,0.68,"(96, 165, 150, 195)"
car,0.62,"(558, 281, 631, 319)"
car,0.56,"(693, 388, 776, 432)"
car,0.54,"(232, 350, 301, 387)"
car,0.49,"(629, 299, 657, 314)"
car,0.81,"(136, 280, 200, 314)"
car,0.74,"(220, 346, 289, 384)"
car,0.7,"(95, 165, 150, 195)"
car,0.58,"(557, 281, 631, 319)"
car,0.39,"(681, 386, 768, 429)"
car,0.39,"(629, 299, 657, 314)"
car,0.78,"(127, 278, 191, 312)"
car,0.66,"(95, 165, 150, 195)"
car,0.66,"(206, 343, 276, 381)"
car,0.57,"(557, 281, 631, 319)"
car,0.51,"(672, 384, 756, 427)"
car,0.39,"(629, 300, 657, 314)"
car,0.38,"(349, 188, 406, 223)"
car,0.77,"(116, 277, 180, 309)"
car,0.66,"(660, 381, 745, 424)"
car,0.64,"(95, 165, 151, 196)"
car,0.58,"(194, 340, 263, 377)"
car,0.56,"(556, 281, 631, 320)"
car,0.43,"(349, 189, 406, 223)"
car,0.41,"(629, 300, 657, 314)"
car,0.84,"(107, 274, 172, 308)"
car,0.71,"(180, 336, 251, 375)"
car,0.7,"(95, 165, 151, 196)"
car,0.56,"(557, 281, 631, 320)"
car,0.51,"(651, 378, 734, 422)"
car,0.41,"(347, 189, 406, 223)"
car,0.37,"(628, 300, 657, 314)"
car,0.83,"(98, 272, 162, 305)"
car,0.76,"(169, 333, 238, 371)"
car,0.69,"(95, 165, 151, 196)"
car,0.58,"(640, 375, 724, 419)"
car,0.55,"(557, 281, 631, 320)"
car,0.38,"(628, 300, 657, 314)"
truck,0.31,"(461, 171, 565, 237)"
car,0.77,"(89, 269, 150, 302)"
car,0.74,"(157, 330, 224, 366)"
car,0.71,"(94, 165, 150, 196)"
car,0.5,"(558, 281, 630, 320)"
car,0.31,"(628, 300, 657, 314)"
car,0.82,"(145, 327, 212, 363)"
car,0.74,"(79, 267, 142, 300)"
car,0.72,"(94, 165, 150, 196)"
car,0.56,"(557, 281, 631, 320)"
car,0.54,"(621, 371, 705, 413)"
truck,0.4,"(461, 172, 565, 238)"
car,0.3,"(628, 300, 657, 314)"
car,0.83,"(132, 323, 200, 361)"
car,0.8,"(70, 265, 134, 298)"
car,0.73,"(94, 165, 150, 196)"
car,0.55,"(612, 369, 696, 412)"
car,0.54,"(557, 281, 630, 320)"
truck,0.46,"(461, 172, 563, 237)"
car,0.39,"(623, 453, 707, 478)"
car,0.85,"(61, 263, 126, 296)"
car,0.73,"(94, 165, 150, 196)"
car,0.71,"(120, 320, 188, 357)"
car,0.68,"(604, 367, 687, 408)"
car,0.53,"(557, 281, 630, 320)"
car,0.47,"(611, 448, 693, 478)"
truck,0.44,"(461, 172, 563, 237)"
car,0.3,"(627, 300, 656, 314)"
car,0.84,"(53, 259, 116, 293)"
car,0.74,"(107, 318, 176, 355)"
car,0.7,"(596, 364, 677, 405)"
car,0.64,"(93, 165, 150, 196)"
car,0.62,"(597, 445, 681, 478)"
car,0.6,"(557, 281, 630, 320)"
car,0.37,"(627, 300, 656, 315)"
truck,0.36,"(461, 173, 563, 237)"
car,0.86,"(44, 258, 107, 291)"
car,0.81,"(95, 312, 165, 351)"
car,0.8,"(581, 362, 665, 403)"
car,0.8,"(585, 442, 666, 477)"
car,0.68,"(94, 165, 150, 196)"
car,0.61,"(556, 281, 629, 320)"
car,0.42,"(627, 300, 656, 315)"
car,0.82,"(34, 256, 97, 289)"
car,0.81,"(84, 310, 149, 347)"
car,0.8,"(573, 359, 656, 402)"
car,0.7,"(94, 165, 150, 196)"
car,0.6,"(573, 439, 655, 478)"
car,0.56,"(557, 281, 629, 320)"
car,0.4,"(626, 300, 656, 315)"
car,0.86,"(25, 254, 89, 287)"
car,0.77,"(559, 435, 639, 476)"
car,0.71,"(71, 308, 138, 344)"
car,0.7,"(93, 165, 150, 196)"
car,0.65,"(565, 357, 646, 399)"
car,0.55,"(557, 281, 629, 320)"
car,0.37,"(626, 300, 656, 315)"
car,0.86,"(16, 252, 80, 285)"
car,0.78,"(58, 305, 126, 341)"
car,0.7,"(546, 431, 626, 474)"
car,0.68,"(93, 165, 150, 196)"
car,0.67,"(556, 353, 638, 396)"
car,0.48,"(556, 281, 629, 320)"
car,0.34,"(626, 300, 656, 315)"
truck,0.3,"(342, 180, 406, 224)"
car,0.81,"(47, 301, 113, 338)"
car,0.81,"(8, 249, 70, 282)"
car,0.66,"(93, 165, 150, 196)"
car,0.64,"(534, 428, 614, 470)"
car,0.62,"(548, 353, 628, 393)"
car,0.59,"(556, 281, 629, 320)"
car,0.37,"(626, 300, 656, 315)"
truck,0.31,"(343, 183, 406, 224)"
car,0.78,"(36, 299, 102, 335)"
car,0.75,"(521, 424, 601, 467)"
car,0.71,"(1, 246, 62, 280)"
car,0.67,"(94, 165, 150, 196)"
car,0.51,"(556, 281, 629, 320)"
car,0.44,"(538, 349, 619, 391)"
truck,0.38,"(344, 182, 407, 224)"
car,0.81,"(23, 297, 90, 332)"
car,0.75,"(508, 422, 587, 464)"
car,0.7,"(0, 242, 52, 277)"
car,0.65,"(93, 165, 150, 196)"
car,0.54,"(556, 281, 629, 320)"
car,0.47,"(529, 347, 609, 388)"
truck,0.42,"(344, 181, 407, 225)"
car,0.35,"(626, 299, 655, 315)"
car,0.82,"(495, 417, 574, 461)"
car,0.82,"(10, 293, 78, 328)"
car,0.75,"(0, 242, 43, 276)"
car,0.64,"(93, 165, 150, 196)"
car,0.6,"(519, 345, 600, 386)"
car,0.47,"(555, 281, 629, 320)"
truck,0.42,"(343, 179, 406, 224)"
car,0.32,"(627, 299, 655, 315)"
car,0.81,"(483, 414, 561, 458)"
car,0.71,"(0, 241, 34, 273)"
car,0.7,"(1, 289, 66, 326)"
car,0.66,"(93, 165, 150, 196)"
car,0.53,"(554, 281, 629, 320)"
car,0.49,"(511, 342, 590, 385)"
car,0.41,"(627, 299, 655, 315)"
truck,0.35,"(343, 181, 406, 224)"
car,0.71,"(470, 411, 549, 453)"
car,0.7,"(0, 287, 53, 322)"
car,0.68,"(93, 165, 149, 196)"
car,0.63,"(500, 340, 581, 383)"
car,0.57,"(555, 281, 629, 320)"
car,0.53,"(0, 239, 24, 272)"
car,0.34,"(627, 299, 655, 315)"
truck,0.31,"(345, 184, 406, 224)"
car,0.74,"(458, 409, 536, 449)"
car,0.72,"(492, 338, 572, 380)"
car,0.71,"(93, 165, 149, 196)"
car,0.67,"(0, 284, 42, 319)"
car,0.52,"(555, 281, 629, 320)"
truck,0.37,"(344, 184, 406, 224)"
car,0.34,"(0, 239, 21, 270)"
car,0.3,"(627, 299, 654, 315)"
car,0.72,"(92, 165, 149, 196)"
car,0.65,"(483, 335, 562, 377)"
car,0.65,"(0, 282, 31, 316)"
car,0.63,"(446, 405, 522, 447)"
car,0.53,"(555, 281, 629, 320)"
truck,0.38,"(461, 174, 562, 238)"
truck,0.37,"(343, 183, 406, 225)"
car,0.35,"(627, 299, 655, 315)"
car,0.79,"(474, 333, 554, 375)"
car,0.7,"(92, 165, 148, 196)"
car,0.67,"(433, 402, 510, 443)"
car,0.57,"(554, 281, 629, 320)"
truck,0.43,"(343, 182, 406, 224)"
car,0.38,"(627, 299, 655, 315)"
car,0.73,"(92, 165, 148, 196)"
car,0.72,"(419, 398, 497, 440)"
car,0.63,"(466, 331, 544, 372)"
car,0.58,"(555, 281, 629, 320)"
truck,0.44,"(343, 180, 406, 224)"
car,0.43,"(627, 299, 655, 315)"
car,0.75,"(408, 395, 485, 437)"
car,0.73,"(92, 165, 148, 196)"
car,0.56,"(456, 328, 535, 369)"
car,0.53,"(555, 281, 629, 320)"
truck,0.37,"(343, 180, 406, 224)"
car,0.34,"(627, 299, 654, 314)"
car,0.78,"(395, 392, 473, 433)"
car,0.71,"(92, 165, 148, 196)"
car,0.69,"(447, 326, 526, 368)"
car,0.59,"(555, 281, 628, 320)"
car,0.39,"(627, 299, 654, 314)"
truck,0.32,"(344, 180, 407, 224)"
car,0.71,"(93, 165, 148, 196)"
car,0.65,"(384, 389, 459, 429)"
car,0.61,"(439, 325, 516, 364)"
car,0.56,"(556, 281, 629, 320)"
car,0.33,"(627, 299, 654, 315)"
truck,0.31,"(345, 181, 407, 224)"
car,0.77,"(371, 386, 447, 427)"
car,0.73,"(92, 165, 148, 196)"
car,0.68,"(430, 321, 508, 363)"
car,0.59,"(557, 281, 628, 320)"
car,0.41,"(627, 300, 654, 315)"
truck,0.32,"(345, 185, 406, 224)"
car,0.73,"(359, 383, 435, 423)"
car,0.71,"(92, 165, 148, 196)"
car,0.63,"(421, 320, 498, 360)"
car,0.6,"(557, 281, 628, 320)"
car,0.4,"(627, 300, 653, 314)"
truck,0.36,"(343, 178, 406, 224)"
car,0.77,"(347, 379, 422, 420)"
car,0.74,"(413, 318, 491, 358)"
car,0.71,"(92, 165, 148, 196)"
car,0.56,"(557, 281, 628, 320)"
truck,0.41,"(343, 174, 406, 224)"
car,0.83,"(334, 375, 411, 418)"
car,0.69,"(92, 165, 148, 196)"
car,0.67,"(404, 316, 481, 357)"
car,0.56,"(557, 281, 628, 320)"
truck,0.33,"(345, 183, 405, 224)"
car,0.84,"(324, 372, 398, 413)"
car,0.73,"(394, 313, 472, 354)"
car,0.7,"(92, 165, 148, 196)"
car,0.56,"(555, 282, 628, 320)"
car,0.34,"(626, 300, 653, 315)"
truck,0.32,"(344, 180, 405, 224)"
car,0.81,"(386, 310, 463, 351)"
car,0.74,"(311, 369, 384, 410)"
car,0.7,"(91, 165, 148, 196)"
car,0.59,"(555, 282, 628, 320)"
car,0.32,"(626, 301, 653, 315)"
truck,0.32,"(343, 178, 404, 225)"
car,0.79,"(378, 309, 454, 349)"
car,0.76,"(299, 367, 374, 406)"
car,0.65,"(91, 165, 148, 196)"
car,0.63,"(553, 282, 627, 319)"
car,0.38,"(0, 392, 29, 441)"
car,0.33,"(625, 301, 653, 315)"
car,0.75,"(286, 362, 361, 403)"
car,0.66,"(91, 165, 147, 196)"
car,0.61,"(551, 282, 627, 320)"
car,0.57,"(370, 306, 445, 347)"
car,0.3,"(625, 301, 652, 315)"
car,0.68,"(91, 165, 147, 196)"
car,0.64,"(275, 359, 351, 400)"
car,0.61,"(551, 282, 626, 319)"
car,0.6,"(0, 388, 47, 446)"
car,0.58,"(362, 304, 437, 344)"
car,0.33,"(624, 301, 651, 315)"
truck,0.31,"(459, 196, 540, 239)"
car,0.75,"(263, 357, 338, 397)"
car,0.74,"(353, 303, 430, 342)"
car,0.69,"(91, 165, 147, 196)"
car,0.62,"(551, 281, 626, 319)"
car,0.57,"(0, 388, 56, 449)"
car,0.35,"(623, 301, 652, 315)"
truck,0.33,"(340, 181, 402, 225)"
truck,0.33,"(459, 196, 542, 239)"
car,0.85,"(250, 354, 326, 394)"
car,0.69,"(91, 166, 146, 196)"
car,0.66,"(0, 388, 66, 452)"
car,0.66,"(344, 301, 418, 340)"
car,0.61,"(550, 281, 626, 319)"
car,0.36,"(623, 301, 651, 315)"
truck,0.31,"(458, 196, 542, 239)"
car,0.78,"(240, 351, 313, 389)"
car,0.76,"(335, 298, 410, 338)"
car,0.67,"(91, 166, 146, 196)"
car,0.63,"(0, 390, 76, 454)"
car,0.6,"(550, 281, 626, 319)"
car,0.36,"(623, 301, 651, 315)"
truck,0.33,"(458, 196, 542, 239)"
truck,0.31,"(740, 332, 839, 380)"
car,0.74,"(326, 296, 402, 336)"
car,0.72,"(228, 347, 301, 387)"
car,0.65,"(92, 166, 146, 196)"
car,0.64,"(0, 393, 86, 459)"
car,0.54,"(550, 281, 625, 319)"
car,0.77,"(217, 345, 289, 384)"
car,0.76,"(319, 293, 394, 335)"
car,0.64,"(92, 166, 146, 196)"
car,0.51,"(3, 395, 96, 461)"
car,0.48,"(550, 281, 625, 319)"
truck,0.33,"(458, 196, 544, 239)"
car,0.85,"(205, 342, 278, 381)"
car,0.75,"(309, 291, 385, 333)"
car,0.62,"(91, 166, 146, 196)"
car,0.5,"(11, 400, 105, 464)"
car,0.5,"(550, 281, 625, 319)"
truck,0.3,"(457, 195, 544, 239)"
car,0.79,"(302, 289, 376, 330)"
car,0.78,"(194, 339, 266, 377)"
car,0.62,"(91, 166, 146, 196)"
car,0.48,"(550, 281, 624, 319)"
car,0.41,"(21, 403, 115, 465)"
truck,0.33,"(457, 196, 544, 239)"
car,0.82,"(182, 336, 254, 375)"
